ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Site Name,Discount,Additional Discounts,Feedback
Lenovo Legion 5 Core i5 10th Gen,4.7,0,0,70990,78089,Flipkart,17% off,10% Off on SBI Credit Cards,Positive
Lenovo ThinkPad E15 Core i5 11th Gen,4.7,0,0,67990,76915,Flipkart,13% off,Flat INR 2000 Off on SBICards,Positive
Lenovo Yoga 6 Ryzen 7 Octa Core 5700U,4.7,0,0,80990,125890,Flipkart,23% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad Slim 5i Core i5 11th Gen,4.1,98,12,57499,88090,Flipkart,20% off,10% Off on SBI Credit Cards,Positive
MSI Sword 15 Core i5 12th Gen,0,0,0,85990,111990,Flipkart,39% off,Flat INR 1500 Off on SBICards,Negative
MSI Alpha 15 Ryzen 7 Octa Core 5800H,4.5,200,35,92990,145990,Flipkart,21% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Yoga Slim 7 Intel EVO Core i7 11th Gen,4.4,0,0,102990,104033,Flipkart,24% off,10% Off on SBI Credit Cards,Positive
Lenovo Core i3 11th Gen,0,0,0,29990,39000,Flipkart,39% off,10% Off on SBI Credit Cards,Negative
Lenovo Ideapad Gaming 3 Ryzen 7 Octa Core 5800H,5,0,0,77990,112990,Flipkart,30% off,10% Off on SBI Credit Cards,Positive
MSI Core i7 10th Gen,4.3,0,0,56990,78990,Flipkart,24% off,10% Off on SBI Credit Cards,Positive
Lenovo Ideapad Gaming 3 Core i5 11th Gen,0,0,0,76490,84139,Flipkart,27% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo ThinkBook 13s Core i7 11th Gen,3.8,0,0,85990,148158,Flipkart,32% off,Flat INR 2000 Off on SBICards,Positive
MSI Core i5 11th Gen,0,0,0,56990,78990,Flipkart,21% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Legion Core i5 9th Gen,4.3,139,17,65990,86690,Flipkart,41% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Ideapad Gaming 3 Core i5 11th Gen,0,0,0,72490,79739,Flipkart,32% off,Flat INR 500 Off on SBI Cards,Negative
Lenovo Yoga Slim 7 Core i5 11th Gen,0,0,0,84990,117490,Flipkart,31% off,10% Off on SBI Credit Cards,Negative
Lenovo Legion 5 Ryzen 7 Octa Core 5800H,4.7,0,0,137990,181890,Flipkart,26% off,Flat INR 500 Off on SBI Cards,Positive
Lenovo Yoga 6 Ryzen 5 Hexa Core 5500U,0,0,0,75990,104890,Flipkart,21% off,10% Off on SBI Credit Cards,Negative
Lenovo Core i3 11th Gen,0,0,0,45980,59990,Flipkart,11% off,10% Off on SBI Credit Cards,Negative
Lenovo Ideapad 330 Core i5 8th Gen,4.4,0,0,43989,59590,Flipkart,37% off,10% Off on SBI Credit Cards,Positive
